source,dataset,attack,model,metric,n,mean_delta_auc,std_delta_auc,ci95_low,ci95_high,privacy_improvement_seed_count,exact_sign_p_one_sided,interpretation
seed_stability,lee2019_mi,threshold(label-known),csp_lda,attack_auc,4,-0.062482638888888886,0.029037160044529966,-0.10868724023871999,-0.01627803753905778,4,0.0625,directionally-supported
seed_stability,lee2019_mi,threshold(label-known),bottleneck_eegnet (dim=6),attack_auc,4,-0.027680208333333345,0.023618896493544882,-0.06526314327372001,0.009902726607053325,4,0.0625,promising-but-underpowered
seed_stability,lee2019_mi,threshold(label-known),adversarial_eegnet (constant@1.00),attack_auc,4,-0.02655972222222225,0.014303482679737425,-0.04931975502563615,-0.0037996894188083406,4,0.0625,directionally-supported
seed_stability,lee2019_mi,threshold(label-known),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.021139583333333406,0.010459452715413303,-0.03778290665806466,-0.004496260008602149,4,0.0625,directionally-supported
seed_stability,lee2019_mi,threshold(max-prob),csp_lda,attack_auc,4,-0.0708451388888889,0.035723261542754695,-0.12768881974361043,-0.014001458034167358,4,0.0625,directionally-supported
seed_stability,lee2019_mi,threshold(max-prob),adversarial_eegnet (constant@1.00),attack_auc,4,-0.01504027777777775,0.026743032750021545,-0.0575944106614788,0.0275138551059233,3,0.3125,promising-but-underpowered
seed_stability,lee2019_mi,threshold(max-prob),bottleneck_eegnet (dim=6),attack_auc,4,-0.0065770833333333445,0.05819844508590128,-0.09918379660179114,0.08602962993512445,3,0.3125,promising-but-underpowered
seed_stability,lee2019_mi,threshold(max-prob),"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,-0.0027142361111111013,0.036106268449772334,-0.060167366423900956,0.05473889420167875,3,0.3125,practical-tie
seed_stability,lee2019_mi,threshold(neg-entropy),csp_lda,attack_auc,4,-0.07085138888888892,0.03572347261434102,-0.1276954056056055,-0.014007372172172357,4,0.0625,directionally-supported
seed_stability,lee2019_mi,threshold(neg-entropy),adversarial_eegnet (constant@1.00),attack_auc,4,-0.015046527777777804,0.02674703380779691,-0.057607027237246075,0.027513971681690466,3,0.3125,promising-but-underpowered
seed_stability,lee2019_mi,threshold(neg-entropy),bottleneck_eegnet (dim=6),attack_auc,4,-0.006576736111111134,0.05820222810333068,-0.09918946900448944,0.08603599678226717,3,0.3125,promising-but-underpowered
