phase,metric,reference,candidate,delta_or_overhead,claim_scope
4,task_balanced_accuracy,0.6573913809404754,0.5184932125713392,-0.13889816836913627,utility_gate_failed_no_privacy_claim
4,membership_threshold_label_known_auc,0.6161694101508917,0.5152704046639232,-0.1008990054869685,diagnostic_only
4,membership_threshold_max_probability_auc,0.5875224622770918,0.5160948216735254,-0.07142764060356649,diagnostic_only
4,membership_logistic_posterior_auc,0.5107722908093278,0.5327379972565158,0.021965706447187996,diagnostic_only
4,membership_mlp_posterior_auc,0.5157290809327847,0.457400548696845,-0.05832853223593969,diagnostic_only
5,aggregate_max_abs_error,0.0,2.384185791015625e-07,2.384185791015625e-07,functional_equivalence_and_local_overhead_only
5,full_run_communication_bytes,62171424,62211744,0.06485294594507085,functional_equivalence_and_local_overhead_only
5,aggregation_runtime_seconds,0.00046416700000007083,0.10108299999999992,217.7729136280358,functional_equivalence_and_local_overhead_only
